MT,source,MMs
A2B,ATLzoo/A2B.tar.gz,TypeA.ecore TypeB.ecore
AssertionModification,ATLzoo/AssertionModification.tar.gz,
ATL2BindingDebugger,ATLzoo/ATL2BindingDebugger.tar.gz,
ATL2Tracer,ATLzoo/ATL2Tracer.tar.gz,
ATLCopier,ATLzoo/ATLCopier.tar.gz,ATLCopier.ecore ATLCopier.ecore
ATOM2RSS,ATLzoo/ATOM2RSS.tar.gz,ATOM.ecore RSS.ecore
ATOM2XML,ATLzoo/ATOM2XML.tar.gz,ATOM.ecore XML.ecore
Book2Publication,ATLzoo/Book2Publication.tar.gz, Book.ecore
CloneDr2CodeClone,ATLzoo/CloneDr2CodeClone.tar.gz,CloneDr.ecore CodeClone.ecore
CodeClone2SVG2,ATLzoo/CodeClone2SVG2.tar.gz, CodeClone.ecore
CodeClone2SVG,ATLzoo/CodeClone2SVG.tar.gz,CodeClone.ecore SVG.ecore
conf4MADL,ATLzoo/conf4MADL.tar.gz,conf4MADL.ecore conf4MADL.ecore
CPL2SPL,ATLzoo/CPL2SPL.tar.gz,CPL.ecore SPL.ecore
Disaggregation,ATLzoo/Disaggregation.tar.gz,
DOT2Text,ATLzoo/DOT2Text.tar.gz, DOT.ecore
EMF2KM3,ATLzoo/EMF2KM3.tar.gz, KM3.ecore
EMOOSE4KM3,ATLzoo/EMOOSE4KM3.tar.gz,
EMOOSE4UML2,ATLzoo/EMOOSE4UML2.tar.gz,
equivalenceOfAttributeAndAssociations,ATLzoo/equivalenceOfAttributeAndAssociations.tar.gz,
Families2Persons,ATLzoo/Families2Persons.tar.gz,Families.ecore Persons.ecore
FLAME4KM3,ATLzoo/FLAME4KM3.tar.gz,
FLAME4UML2,ATLzoo/FLAME4UML2.tar.gz,
ForeignKey,ATLzoo/ForeignKey.tar.gz,
HTML2XML,ATLzoo/HTML2XML.tar.gz,HTML.ecore XML.ecore
IEEE1471_2_MoDAF,ATLzoo/IEEE1471_2_MoDAF.tar.gz,
introducingAnInterface,ATLzoo/introducingAnInterface.tar.gz,
JavaSource2Table,ATLzoo/JavaSource2Table.tar.gz,JavaSource.ecore Table.ecore
KM32ATLCopier,ATLzoo/KM32ATLCopier.tar.gz,KM3.ecore ATLCopier.ecore
KM32CONFATL,ATLzoo/KM32CONFATL.tar.gz, KM3.ecore
KM32DOT,ATLzoo/KM32DOT.tar.gz,KM3.ecore DOT.ecore
KM32EMF,ATLzoo/KM32EMF.tar.gz, KM3.ecore
KM32Measure,ATLzoo/KM32Measure.tar.gz,KM3.ecore Measure.ecore
KM32OWL,ATLzoo/KM32OWL.tar.gz,KM3.ecore OWL.ecore
KM32SimpleClass,ATLzoo/KM32SimpleClass.tar.gz,KM3.ecore SimpleClass.ecore
KM32XML,ATLzoo/KM32XML.tar.gz,KM3.ecore XML.ecore
Lib4MMTree,ATLzoo/Lib4MMTree.tar.gz, MMTree.ecore
LibFQL,ATLzoo/LibFQL.tar.gz,
MADL2DOT,ATLzoo/MADL2DOT.tar.gz,MADL.ecore DOT.ecore
Measure2Table,ATLzoo/Measure2Table.tar.gz,Measure.ecore Table.ecore
Measure2XHTML,ATLzoo/Measure2XHTML.tar.gz,Measure.ecore XHTML.ecore
